2020/09/30                                                                                                                                                                                                                                                                                                                                                                             Dynamic List Display                                                                                                                                                                                                                                                                                                                                                                                    1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PEB,Invoice Doc,Material,DistChnl Desc,Ship-to-Party,SubDiv Desc,EndCust Code,BillT,Sold-to-Party,Sold-to-Party Name,Div Desc,RefDoc,EndCust Short Name,Posting Date,Div,Doc Curr,Invoiced Quantity,   Net value,Net Value Local,,
,,,,,,,,,,,,,,,,,,,,
326421,903094858,LNCT28PF01HT,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095820,LGI-J,2020-09-09,10,US$,"86,400.00","43,536.96","43,536.96",,
326421,903094859,LNCT28PF01HT,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095821,LGI-J,2020-09-09,10,US$,"86,400.00","43,536.96","43,536.96",,
326360,903094860,MN63Y2018NFT,Buy Back,39173,MCS-LSI-TAG,29288,ZF2,39173,GPRC,SYSTEM LSI,803095815,NTCJ,2020-09-09,30,US$,"92,160.00","29,187.07","29,187.07",,
326360,903094860,MN63Y2005ZAT,Buy Back,39173,MCS-LSI-TAG,29288,ZF2,39173,GPRC,SYSTEM LSI,803095815,NTCJ,2020-09-09,30,US$,"9,216.00","3,868.88","3,868.88",,
326421,903094861,MN63Y2014ZBT,Sales Co. (B&S),29817,MCS-LSI-TAG,20200628,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095886,BROTHERHK,2020-09-09,30,US$,"46,080.00","10,014.57","10,014.57",,
326421,903094862,MN63Y2014ZBT,Sales Co. (B&S),29817,MCS-LSI-TAG,20200628,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095884,BROTHERHK,2020-09-09,30,US$,"36,864.00","8,011.65","8,011.65",,
326421,903094863,MN63Y2014ZBT,Sales Co. (B&S),29817,MCS-LSI-TAG,20200628,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095885,BROTHERHK,2020-09-09,30,US$,"46,080.00","10,014.57","10,014.57",,
326421,903094864,MN101C30AMX,Sales Co. (B&S),29817,MN-DD,80958868,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095881,SHIN-BRO,2020-09-09,30,US$,"2,000.00","1,091.90","1,091.90",,
326421,903094865,MN63Y2014ZBT,Sales Co. (B&S),29817,MCS-LSI-TAG,20200628,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095887,BROTHERHK,2020-09-09,30,US$,"87,552.00","19,027.68","19,027.68",,
326421,903094866,MN63Y2014ZBT,Sales Co. (B&S),29817,MCS-LSI-TAG,20200628,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095888,BROTHERHK,2020-09-09,30,US$,"23,040.00","5,007.28","5,007.28",,
326360,903094867,AN83051UA-VF,Buy Back,39173,A-LSI,29313,ZF2,39173,GPRC,ANALOG LSI,803095825,NTCJ,2020-09-09,20,US$,"3,000.00","3,034.80","3,034.80",,
326421,903094868,LNCT28PF01HT,Sales Co. (B&S),29817,FLD,20010604,ZF2,29817,NTSG-SALES,DISCRETE,803095822,LGI-J,2020-09-09,10,US$,"81,600.00","41,118.24","41,118.24",,
326314,903094869,AN83051UA-VF,Sales Co. (B&S),29817,A-LSI,80960424,ZF2,29817,NTSG-SALES,ANALOG LSI,803095824,HKWS,2020-09-09,20,US$,"33,000.00","36,695.01","36,695.01",,
328331,903094870,MN63Y2018NFT,Sales Co. (B&S),29817,MCS-LSI-TAG,80943071,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095877,BIPH,2020-09-09,30,US$,"32,256.00","7,003.42","7,003.42",,
328331,903094871,MN63Y2018NFT,Sales Co. (B&S),29817,MCS-LSI-TAG,80943071,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095878,BIPH,2020-09-09,30,US$,"32,256.00","7,003.42","7,003.42",,
328331,903094872,MN63Y2014ZBT,Sales Co. (B&S),29817,MCS-LSI-TAG,80943071,ZF2,29817,NTSG-SALES,SYSTEM LSI,803095883,BIPH,2020-09-09,30,US$,"55,296.00","12,189.45","12,189.45",,
328254,903094873,AN44025A-VF,Sales Co. (B&S),29817,A-LSI,80964324,ZF2,29817,NTSG-SALES,ANALOG LSI,803095859,ZHMM,2020-09-10,20,US$,"3,000.00","1,629.39","1,629.39",,
328254,903094874,AN44026A-VF,Sales Co. (B&S),29817,A-LSI,80964324,ZF2,29817,NTSG-SALES,ANALOG LSI,803095860,ZHMM,2020-09-10,20,US$,"9,000.00","4,214.43","4,214.43",,
328254,903094875,AN44026A-VF,Sales Co. (B&S),29817,A-LSI,80964324,ZF2,29817,NTSG-SALES,ANALOG LSI,803095861,ZHMM,2020-09-10,20,US$,"15,000.00","7,024.05","7,024.05",,
328254,903094876,AN44127AAVF,Sales Co. (B&S),29817,A-LSI,80964324,ZF2,29817,NTSG-SALES,ANALOG LSI,803095862,ZHMM,2020-09-10,20,US$,"9,000.00","5,973.30","5,973.30",,
